PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
CC1=CC=C(O1)/C=C/C(=O)OCC(=O)NC2=C(N=CC=C2)Cl,0
CCCN(CCC)C(=O)C1CCC(CC1)CNS(=O)(=O)C2=CC=CC3=NSN=C32,0
CN(C1=CC=C(C=C1)/C=C/2\C(=O)/C(=C\C3=CC=C(C=C3)N(C)C)/C[N+](C2)(C)C)C.[I-],1
C1COCCN1C(=O)C2=CN3C(=NC4=C(C3=O)C=C(C=C4)Cl)C=C2,0
CCC(=O)N1CCC2=C1C=CC(=C2)S(=O)(=O)NCCC(=O)N3CCN(CC3)CC4=CC=CC=C4,0
CC(=NNC(=S)N1CCN(CC1)C2CCCCCC2)C3=CC=CC=N3,1
CC(C)(C)C1=CC(=O)N2C3=CC=CC=C3N=C2N1,0
CCOC(=O)C1=C(C(=NN1C2=CC=CC=C2)C#N)NC(=O)C3=C(C=NN3C)Br,0
CCNC(=O)CC1C(=O)N(C(=S)N1CCC2=CC=NC=C2)C3=CC=C(C=C3)F,1
C1CCC2=C(C1)C3=C(S2)N=NN(C3=O)CC4=CC=C(C=C4)C(=O)O,0
COC1=C(C=C(C=C1)NC(=O)CSC2=NC3=C(C=NN3)C(=O)N2C4=CC=CC=C4OC)OC,0
CCCC[N+]1=CN(C=C1)C2=NC3=CC=CC=C3N=C2[N-]S(=O)(=O)C4=CC=C(C=C4)Cl,0
CCC1=NC=CN1CCC(=O)NC2CC(CC3=C2C=NN3C4=CC=C(C=C4)OC)(C)C,0
CC1=CC=C(C=C1)C(C(=O)NC2CCCC2)N(CCOC)C(=O)C3=CSN=N3,0
CN(C)C1=CC=C(C=C1)/C=C/C2=NC3=CC(=C(C=C3S2)SC)OC,1
CC1(C2=C(C=CC(=C2)S(=O)(=O)N3CCCC(C3)C(=O)NCC4=CC(=CC=C4)OC)N(C1=O)C)C,0
CN1C2=CC=CC3=C2C(=C(C1=O)NC4=CC=C(C=C4)O)C5=CC=CC=C5C3=O,1
CCN(CC)C(=O)CN1C2=C(C(=O)N(C1=O)CC3=CC=C(C=C3)F)SC=C2,0
CN1C(=NN=C1SCC(=O)NC2=CC3=C(CCC3)C=C2)COC4=CC=C(C=C4)Cl,0
COC1=CC=C(C=C1)C(=C2C=C(C(=NO)C=C2Cl)Cl)C#N,1
CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,1
COC1=CC=CC2=C1OC(=C2)C(=O)NC3=CC=CC=C3C(=O)N4CCOCC4,0
